alias,alias_type,source,confidence,notes,molecule_chembl_id
D-glucitol,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
D-glucitol syrup,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
D-sorbitol,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
E 420,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
E-420(i),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
FEMA NO. 3029,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
"Glucitol, d-",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Ins-420(i),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Ins no.420(i),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
"Isomalt impurity, sorbitol-",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Neosorb p 60w,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
NSC-25944,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Sorbitol,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Sorbitol component of -mannitol,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Sorbitol (e420),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
Sorbitol solutions,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
SORBITOL,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1682,CHEMBL1682
FEMA NO. 3709,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
Heat spray,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
Methyl nicotinate,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
Methylnicotinate,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
NSC-13126,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
Vitathone,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
METHYL NICOTINATE,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL379845,CHEMBL379845
Demofix,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1201196,CHEMBL1201196
FI-7045,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1201196,CHEMBL1201196
Sertaconazol,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1201196,CHEMBL1201196
Sertaconazole,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1201196,CHEMBL1201196
SERTACONAZOLE,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1201196,CHEMBL1201196
4-imidazolecarboxylic acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1773943,CHEMBL1773943
4-IMIDAZOLECARBOXYLIC ACID,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1773943,CHEMBL1773943
Ati-1777,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5856622,CHEMBL5856622
ATI-1777,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5856622,CHEMBL5856622
ATI1777,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5856622,CHEMBL5856622
Lepzacitinib,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5856622,CHEMBL5856622
LEPZACITINIB,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5856622,CHEMBL5856622
20:3(N-6),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
20:3 (.omega.-6) fatty acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
"8z,11z,14z-eicosatrienoic acid",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Bishomo-.gamma.-linolenic acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
"Cis-8,11,14-eicosatrienoicacid",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Daleuton,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Dihomo-.gamma.-linolenic acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Dihomo-gamma-linolenic acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Diroleuton,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Ds-107,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
Ds107,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
DS-107G,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
DS107G,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
.gamma.-homolinolenic acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
RO 12-1989,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
DIHOMO-GAMMA-LINOLENIC ACID,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL465183,CHEMBL465183
E-6005,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL3989967,CHEMBL3989967
E6005,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL3989967,CHEMBL3989967
Lotamilast,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL3989967,CHEMBL3989967
RVT-501,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL3989967,CHEMBL3989967
LOTAMILAST,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL3989967,CHEMBL3989967
A-301,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
Ati-50002,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
ATI50002,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
Ati-502,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
ATI-502,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
Ifidancitinib,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
IFIDANCITINIB,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4594441,CHEMBL4594441
KIND-016,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4650239,CHEMBL4650239
KIND-037,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4650239,CHEMBL4650239
Tirnovetmab,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4650239,CHEMBL4650239
TIRNOVETMAB,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL4650239,CHEMBL4650239
BI PH10,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL5095069,CHEMBL5095069
