nct_id,brief_title,official_title,sponsor,collaborators,conditions,interventions,intervention_other_names,arms,primary_outcomes,secondary_outcomes,phase,status,start_date,completion_date,last_update_posted,has_results,references,publications,secondary_ids,query_used,url
NCT04737304,A First-in-Human PoC Study With BEN2293 in Patients With Mild to Moderate Atopic Dermatitis,"A First-in-Human, Double-Blind, Randomised, Vehicle Controlled Phase I/II Proof of Concept Study to Investigate the Safety, Tolerability, Pharmacokinetics and Efficacy of BEN2293 in Patients With Mild to Moderate Atopic Dermatitis",BenevolentAI Bio,,Atopic Dermatitis,BEN2293 (0.25% or 1.0% w/w) or matching placebo,BEN2293,Dose Regimen Low Dose; Dose Regimen High Dose; Placebo,"Safety and tolerability assessed by means of incidence of adverse events, incidence of adverse events at the local application site, mean vital signs, mean 12-lead ECG parameters and mean safety laboratory results.",PK-Cmax; PK-Tmax; PK-T1/2; PK-AUC; PK- over a dosing interval (AUCт); PK - Accumulation ratio; Time to itch reduction; Fraction of patients achieving itch reduction; Change from baseline in the Numerical Rating Scale (NRS) for pruritus - Worst Itch over 24 hours; Change from baseline in the Numerical Rating Scale (NRS) for pruritus - Current Itch; Change from baseline in Eczema Area and Severity Index (EASI) score; Number of patients achieving improvement in Eczema Area and Severity Index (EASI) score; Change from baseline in BSA affected by AD in treated area(s); Change from baseline in vIGA score; Change from baseline in Patient Oriented Eczema Measure (POEM); Change from baseline in Dermatology Life Quality Index (DLQI); Change from baseline in EQ5D score; Change from baseline in Patient Reported Outcomes Measurement Information System (PROMIS); Change from baseline in Insomnia Severity Index (ISI),PHASE1; PHASE2,COMPLETED,2020-10-14,2023-01-26,2023-06-18,False,0,0,BB-2293-101b,asset only,https://clinicaltrials.gov/study/NCT04737304
NCT04986384,Effect of a Topical Spray on Itch Relief in Moderate-to-severe Childhood Eczema,Effect of a Topical Spray on Itch Relief in Moderate-to-severe Childhood Eczema,Prof. HON Kam Lun Ellis,,Eczema,Atoderm SOS spray Aerosol 200ml,,Active Treatment Group; Wait-list Control Group,SCORing Atopic Dermatitis (SCORAD); The Patient Oriented Eczema Measure (POEM); Nottingham Eczema Severity Score (NESS); The Children's Dermatology Life Quality Index (CDLQI); Pediatric Allergic Disease Quality of Life Questionnaire (PADQLQ),Bacterial colonization; dermatological parameters on skin; seromarkers,NA,COMPLETED,2019-01-24,2021-04-07,2021-08-02,False,0,0,BAIS2018,target + disease: neurotrophin,https://clinicaltrials.gov/study/NCT04986384
NCT00557284,Efficacy Study of Montelukast in Atopic Dermatitis Induced by Food Allergens,"A Randomized, Double-blind, Placebo-controlled, Parallel Group Study to Evaluate the Efficacy of Montelukast (Singulair) in Participants Ages 1 - 8 Years Diagnosed With Atopic Dermatitis Induced by Food Allergens",1st Allergy & Clinical Research Center,,Atopic Dermatitis,Montelukast; Placebo,,1; 2,Change in Percentage of Body Involvement; Mean Change in Investigator Global Assessment (IGA); Mean Change in PADC (Caregivers Perception of Disease Control); Mean Change in Pruritus; Mean Change in Weekly Use of Rescue Medication for AD Flare-up - Cetirizine and/or 10% Hydrocortisone Cream,Mean Change in Serum and Urinary Inflammatory Marker Levels; Mean Change in Serum IgE Levels; Mean Change in (Gastrointestinal Symptom Rating Scale) GSRS,PHASE4,COMPLETED,2008-03,2009-05,2015-04-21,True,0,1,32032,target + disease: neurotrophin,https://clinicaltrials.gov/study/NCT00557284
NCT03831646,"Clinical, Psychological and Genetic Characteristics in Dermatological Patients","Clinical, Psychological and Genetic Characteristics of Patients With Atopic Dermatitis and Psoriasis",Astana Medical University,"Ariel University; Tirat Carmel Mental Health Center; Medical Centre Hospital of the President's Affairs Administration, Republic of Kazakhstan",Atopic Dermatitis; Psoriasis,,,dermatological patients,"Assessment of change in the severity of atopic dermatitis after conventional treatment from study onset (baseline) at week 10; Assessment of change in the severity of psoriasis after conventional treatment from study onset (baseline) at week 10; Assessment of change in the severity of depression in atopic dermatitis and psoriasis patients after conventional treatment from study onset (baseline) at week 10; Assessment of the severity of depression in healthy controls (HC); Assessment of change in the severity of anxiety in atopic dermatitis and psoriasis patients after conventional treatment from study onset (baseline) at week 10; Assessment of the severity of anxiety in HC; Evaluation of changes in serum immunoglobulin E (IgE, IU/ml) levels from study onset (baseline) at week 10 in atopic dermatitis patients; Analysis of serum IgE (IU/ml) levels in HC; Evaluation of changes in serum Brain Derived Neurotrophic Factor (BDNF, ng/ml) levels from study onset (baseline) at week 10 in atopic dermatitis and psoriasis patients; Analysis of serum BDNF (ng/ml) levels in HC; Evaluation of changes in cortisol (nmol/L) levels from study onset (baseline) at week 10 in atopic dermatitis and psoriasis patients; Analysis of serum cortisol (nmol/L) levels in HC; Evaluation of changes in testosterone (ng/dL) levels from study onset (baseline) at week 10 in atopic dermatitis and psoriasis patients; Analysis of serum testosterone (ng/dL) levels in HC; DNA extraction in AD, PS and HC","Assessment and comparison (Unpaired t-test) of SCORAD scores in extrinsic atopic dermatitis (EAD, IgE level above the normal) and intrinsic atopic dermatitis (IAD, normal IgE level) patients compared with baseline after conventional treatment at week 10; Assessment and comparison (Unpaired t-test) of PASI scores in psoriasis patients compared with baseline after conventional treatment at week 10 in accordance with BDNF gene polymorphism (Val/Val; Val/Met;Met/Met) and gender(males, females); Unpaired, two-way ANOVA and Bonferroni means separation tests for multiple comparisons of HAM-D scores in EAD, IAD, PS and HC; Unpaired, two-way ANOVA and Bonferroni means separation tests for multiple comparisons of HAM-A scores in EAD, IAD,PS and HC; Unpaired, two-way ANOVA and Bonferroni means separation tests for multiple comparisons of serum BDNF (ng/ml) levels in EAD, IAD,PS and HC; Unpaired, two-way ANOVA and Bonferroni means separation tests for multiple comparisons of serum cortisol (nmol/L) levels in EAD, IAD,PS and HC; Unpaired, two-way ANOVA and Bonferroni means separation tests for multiple comparisons of serum testosterone (ng/dL) levels in EAD, IAD,PS and HC; Assessment of testosterone/cortisol ratio in EAD, IAD, PS patients and HC in accordance with BDNF rs6265 gene polymorphism and gender; Unpaired, two-way ANOVA and Bonferroni means separation tests for multiple comparisons of testosterone/cortisol ratio in EAD, IAD, PS and HC; Correlation analysis of studied parameters in dermatological patients and HC",,COMPLETED,2019-01-20,2019-07-30,2019-08-20,False,0,10,4,target + disease: neurotrophin,https://clinicaltrials.gov/study/NCT03831646
